id,title,genre,year,addedByUserId
1,그것만이 내세상,코미디,2018,20252811
2,식스센스,스릴러,1999,20252811
3,기생충,드라마,2019,20252811
4,인터스텔라,SF,2014,20250006
5,어벤져스,액션,2012,20250003
6,다크나이트,액션,2008,20250003
7,아이언맨,액션,2008,20250004
8,겨울왕국,애니,2013,20250014
9,코코,애니,2017,20250014
10,토이스토리,애니,1995,20250014
11,매트릭스,SF,1999,20250007
12,인셉션,SF,2010,20250006
13,그래비티,SF,2013,20250007
14,마션,SF,2015,20250008
15,듄,SF,2021,20250006
16,쇼생크탈출,드라마,1994,20250009
17,포레스트검프,드라마,1994,20250010
18,이터널선샤인,드라마,2004,20250013
19,라라랜드,드라마,2016,20250011
20,버드맨,드라마,2014,20250010
21,곡성,스릴러,2016,20250012
22,올드보이,스릴러,2003,20250013
23,그녀,SF,2013,20250007
24,엑스마키나,SF,2014,20250008
25,존윅,액션,2014,20250005
26,미션임파서블,액션,1996,20250005
27,탑건매버릭,액션,2022,20250004
28,범죄도시,액션,2017,20250003
29,신과함께,드라마,2017,20250011
30,극한직업,코미디,2019,20250001
