userId,movieId,score
20252811,1,5
20252811,2,5
20252811,3,4.5
20250001,1,4
20250001,2,4.8
20250001,3,4
20250002,1,4.5
20250002,2,0
20250002,4,5
20250003,6,5
20250003,7,4.5
20250003,25,5
20250003,26,4
20250003,27,5
20250003,28,4.5
20250004,6,4.5
20250004,7,5
20250004,25,4.5
20250004,27,4
20250004,28,5
20250004,5,4
20250005,6,5
20250005,7,4
20250005,26,5
20250005,28,4.5
20250005,5,4.5
20250006,4,5
20250006,11,5
20250006,12,4.5
20250006,13,5
20250006,14,4
20250006,15,4.5
20250007,4,4.5
20250007,11,4
20250007,12,5
20250007,13,4.5
20250007,23,4
20250007,24,5
20250008,4,5
20250008,12,4.5
20250008,14,5
20250008,15,4
20250008,24,4.5
20250009,16,5
20250009,17,5
20250009,18,4.5
20250009,19,5
20250009,29,4
20250010,16,4.5
20250010,17,4
20250010,18,5
20250010,19,4.5
20250010,20,4
20250010,3,4.5
20250011,16,5
20250011,17,4.5
20250011,19,4
20250011,29,5
20250011,30,4.5
20250012,2,4.5
20250012,21,5
20250012,22,5
20250012,3,4
20250012,6,3.5
20250013,2,5
20250013,21,4.5
20250013,22,4
20250013,18,4.5
20250013,19,5
20250014,8,5
20250014,9,5
20250014,10,4.5
20250014,30,4
20250014,1,3.5
